nuts3,year,yield_tha
DE948,2023,14.242138062258388
DE949,2018,
DE949,2019,4.210892531697247
DE949,2020,11.743939285010205
DE949,2021,18.056735199771637
DE949,2022,9.220290329880314
DE949,2023,12.951031706402901
DE94B,2018,
DE94B,2019,5.594207992880716
DE94B,2020,11.579497415058558
DE94B,2021,17.969248442264274
DE94B,2022,9.307239841521744
DE94B,2023,12.756802131493718
DEA34,2018,
DEA34,2019,6.051891000964823
DEA34,2020,10.29199142082223
DEA34,2021,17.631234427444905
DEA34,2022,9.0416581850401
DEA34,2023,10.043341261202883
DEA37,2018,
DEA37,2019,5.089231288782638
DEA37,2020,10.236640377773456
DEA37,2021,16.422465563465344
DEA37,2022,7.608448300562983
DEA37,2023,11.664501728308137
DEA59,2018,
DEA59,2019,7.14034105528888
DEA59,2020,9.884821875918085
DEA59,2021,16.149290993671926
DEA59,2022,10.564597364733467
DEA59,2023,14.810199964677649
DEB3A,2018,
DEB3A,2019,4.474987385458236
DEB3A,2020,6.653299396018683
DEB3A,2021,15.430997347077371
DEB3A,2022,7.856793133321809
DEB3A,2023,3.0684581432620934
DEC05,2018,
DEC05,2019,4.5888799741687345
DEC05,2020,6.818285251675673
DEC05,2021,15.425572616478222
DEC05,2022,7.980637444934894
DEC05,2023,3.1190305433862937
DEE06,2018,
DEE06,2019,6.0500916280251085
DEE06,2020,9.758554159956308
DEE06,2021,9.207163755756458
DEE06,2022,1.2817726780730068
DEE06,2023,8.951220240170096
DEE0D,2018,
DEE0D,2019,8.616454357750005
DEE0D,2020,10.50075452734701
DEE0D,2021,8.733870857778445
DEE0D,2022,2.166913263570632
DEE0D,2023,11.51055530776949
DEE0E,2018,
DEE0E,2019,3.326224271857652
DEE0E,2020,8.49877949934228
DEE0E,2021,9.142497381900947
DEE0E,2022,4.897003912611866
DEE0E,2023,5.210803251491626
DEG03,2018,
DEG03,2019,4.650816941013429
DEG03,2020,7.973733375874145
DEG03,2021,13.020821256765336
DEG03,2022,3.2672737750518963
DEG03,2023,6.201016580700593
DK011,2018,
DK011,2019,10.415396238623853
DK011,2020,9.234548214276979
DK011,2021,12.07055502955189
DK011,2022,11.257735446041538
DK011,2023,17.120467776465702
DK014,2018,
DK014,2019,3.776606348288465
DK014,2020,6.080598078611208
DK014,2021,2.1862475517017574
DK014,2022,4.002805017855927
DK014,2023,10.26340386274668
DK032,2018,
DK032,2019,14.374492977828325
DK032,2020,12.452325059836964
DK032,2021,14.022692212466337
DK032,2022,10.706570822543528
DK032,2023,16.3472876677194
DK041,2018,
DK041,2019,12.115701072028513
DK041,2020,12.050553682399913
DK041,2021,11.950868365853148
DK041,2022,12.91375938298909
DK041,2023,13.638441708078302
EE001,2018,
EE001,2019,10.648916594693667
EE001,2020,13.887750113639646
EE001,2021,6.226879338193749
EE001,2022,8.887717928519848
EE001,2023,11.999356661277062
EE004,2018,
EE004,2019,12.343955473078447
EE004,2020,14.776924323474821
EE004,2021,2.739653284013063
EE004,2022,5.67331977336198
EE004,2023,12.332466346782766
EE006,2018,
EE006,2019,11.156243234105542
EE006,2020,13.960125817175232
EE006,2021,8.469849838967423
EE006,2022,9.782089260399827
EE006,2023,12.011561664562686
EE007,2018,
EE007,2019,11.068328325761708
EE007,2020,13.493220234351375
EE007,2021,7.992339606044838
EE007,2022,7.791295188038459
EE007,2023,12.394827677597492
EE008,2018,
EE008,2019,9.726550762632833
EE008,2020,13.997623808671557
EE008,2021,8.618570871819346
EE008,2022,8.107717646062019
EE008,2023,9.546116459130797
EL302,2018,
EL302,2019,2.0539292989820033
EL302,2020,0.8291437965574872
EL302,2021,1.2930767283158924
EL302,2022,0.7452152378044608
EL302,2023,2.0834173898362423
EL303,2018,
EL303,2019,1.2776589167457033
EL303,2020,0.5496917053041271
EL303,2021,1.5881978559825822
EL303,2022,0.7564629465450703
EL303,2023,4.181153445578513
EL304,2018,
EL304,2019,5.94011660967482
EL304,2020,2.8793480691571522
EL304,2021,1.9706991118963537
EL304,2022,1.3770741984244126
EL304,2023,2.83162437014586
EL306,2018,
EL306,2019,0.8429544262212523
EL306,2020,0.42091362085650114
EL306,2021,0.8379592732899686
EL306,2022,0.7567251871617487
EL306,2023,2.010302797664017
EL307,2018,
EL307,2019,6.535815889249972
EL307,2020,5.155772261740407
EL307,2021,2.3738818864932867
EL307,2022,1.6969459620583043
EL307,2023,2.5774262649800215
EL412,2018,
EL412,2019,5.989485415780568
EL412,2020,5.6323460596812085
EL412,2021,3.647375176933374
EL412,2022,0.6032860732040151
EL412,2023,7.93337094989449
EL413,2018,
EL413,2019,1.2515819691556744
EL413,2020,1.4853868122551732
EL413,2021,1.6097779540933175
EL413,2022,0.8376004055422711
EL413,2023,1.801262661641056
EL422,2018,
EL422,2019,6.729605105156305
EL422,2020,4.895459327158491
EL422,2021,3.320036987649326
EL422,2022,2.003448588045802
EL422,2023,2.308823061217831
EL432,2018,
EL432,2019,3.5651955138189013
EL432,2020,2.09097486668403
EL432,2021,1.5082637213039165
EL432,2022,0.8766642679936272
EL432,2023,1.2324320939044175
EL433,2018,
EL433,2019,0.9992330171366637
EL433,2020,0.7508342899782513
EL433,2021,0.7060345380251156
EL433,2022,0.4060066007030701
EL433,2023,3.157999378700097
EL434,2018,
EL434,2019,0.39609807522345986
EL434,2020,0.354762113815035
EL434,2021,0.368555670348129
EL434,2022,0.2849293254990633
EL434,2023,4.848257465315735
EL515,2018,
EL515,2019,3.151448279802857
EL515,2020,3.1858784769079804
EL515,2021,2.3067517718679182
EL515,2022,2.231355811947557
EL515,2023,4.586769164357373
EL532,2018,
EL532,2019,2.7817922903537755
EL532,2020,1.3115025393068807
EL532,2021,1.0119011171178955
EL532,2022,5.515906354617443
EL532,2023,7.347909729461079
EL541,2018,
EL541,2019,5.636028810942843
EL541,2020,4.511447154841297
EL541,2021,3.0846715294764206
EL541,2022,5.554556385748238
EL541,2023,12.328153427024965
EL542,2018,
EL542,2019,3.7648484176888295
EL542,2020,2.5175454000778825
EL542,2021,1.6023522738046712
EL542,2022,3.4269100150473166
EL542,2023,7.730814262716549
EL543,2018,
EL543,2019,3.624095970311534
EL543,2020,6.973395655049613
EL543,2021,1.678899122672364
