nuts3,year,yield_tha
FI1D1,2019,7.796404261290211
FI1D1,2020,11.709895728520161
FI1D1,2021,8.5824162131
FI1D1,2022,10.930063645083576
FI1D1,2023,12.992253201172147
FI1D2,2018,
FI1D2,2019,7.4643589776222345
FI1D2,2020,10.685342215407985
FI1D2,2021,8.132596414563517
FI1D2,2022,11.199770972663073
FI1D2,2023,12.291490700648472
FI1D3,2018,
FI1D3,2019,9.588086424369203
FI1D3,2020,11.972462445473447
FI1D3,2021,6.5473112067699475
FI1D3,2022,12.045568691785727
FI1D3,2023,12.269725003483845
FI1D5,2018,
FI1D5,2019,5.836165983031024
FI1D5,2020,8.408365104504824
FI1D5,2021,6.241727346975437
FI1D5,2022,11.19906245328004
FI1D5,2023,11.372713998299906
FI1D7,2018,
FI1D7,2019,1.9024877743631126
FI1D7,2020,3.9742394590039183
FI1D7,2021,3.7269158321961076
FI1D7,2022,5.817868863375769
FI1D7,2023,4.3559981118528786
FI200,2018,
FI200,2019,9.282674962458753
FI200,2020,6.224878743297414
FI200,2021,6.730788412984934
FI200,2022,5.4711066197732015
FI200,2023,9.534057865995711
HR031,2018,
HR031,2019,16.546282110109345
